sid,school,sex,advice,feduc,meduc,focc,denom,galo
1,1,boy,2,lowest,lowest,NA,non-denominational,85
2,1,boy,lowest,lowest,lowest,2,non-denominational,78
3,1,girl,4,4,3,4,non-denominational,104
4,1,boy,2,lowest,lowest,2,non-denominational,93
5,1,girl,4,2,lowest,5,non-denominational,114
6,1,girl,2,lowest,lowest,NA,non-denominational,79
7,1,girl,2,2,2,5,non-denominational,95
8,1,girl,2,lowest,lowest,2,non-denominational,98
9,1,boy,2,lowest,lowest,NA,non-denominational,77
10,1,girl,4,lowest,3,lowest,non-denominational,114
11,1,boy,2,lowest,lowest,NA,non-denominational,79
12,1,boy,2,lowest,lowest,2,non-denominational,84
13,1,boy,2,lowest,lowest,2,non-denominational,101
14,1,girl,2,lowest,lowest,NA,non-denominational,98
15,1,boy,2,3,4,2,non-denominational,99
16,1,boy,2,5,5,4,non-denominational,102
17,1,girl,2,NA,3,NA,non-denominational,86
18,1,boy,2,lowest,lowest,4,non-denominational,86
19,1,girl,2,lowest,lowest,NA,non-denominational,85
20,1,girl,2,lowest,lowest,NA,non-denominational,108
21,2,girl,2,4,3,2,catholic,110
22,2,boy,4,5,3,highest,catholic,111
23,2,girl,2,4,5,3,catholic,100
24,2,girl,no subsequent school,4,2,2,catholic,79
25,2,boy,4,2,lowest,3,catholic,111
26,2,girl,2,7,5,5,catholic,92
27,2,girl,2,5,lowest,3,catholic,97
28,2,girl,5,7,2,3,catholic,120
29,2,girl,highest,2,6,3,catholic,134
30,2,girl,4,4,6,3,catholic,114
31,2,girl,4,7,6,highest,catholic,109
32,2,girl,4,7,2,3,catholic,109
33,3,girl,5,5,5,4,non-denominational,119
34,3,boy,4,2,5,4,non-denominational,106
35,3,girl,2,lowest,lowest,2,non-denominational,125
36,3,girl,4,2,lowest,2,non-denominational,111
37,3,girl,2,8,2,4,non-denominational,90
38,3,boy,4,3,lowest,3,non-denominational,103
39,3,girl,highest,5,5,highest,non-denominational,123
40,3,girl,5,lowest,lowest,2,non-denominational,114
41,3,girl,2,NA,lowest,NA,non-denominational,101
42,3,boy,4,6,lowest,4,non-denominational,102
43,3,boy,4,2,lowest,2,non-denominational,108
44,3,girl,4,6,5,5,non-denominational,111
45,3,boy,5,7,5,5,non-denominational,113
46,3,boy,2,2,lowest,2,non-denominational,91
47,3,boy,2,7,lowest,3,non-denominational,108
48,3,boy,2,6,7,5,non-denominational,92
49,3,boy,2,lowest,lowest,4,non-denominational,96
50,3,girl,4,5,5,4,non-denominational,106
51,3,girl,5,7,lowest,2,non-denominational,117
52,3,girl,5,2,5,4,non-denominational,113
53,3,boy,5,6,3,3,non-denominational,123
54,3,boy,4,7,lowest,4,non-denominational,109
55,3,girl,2,3,lowest,2,non-denominational,91
56,3,boy,5,3,lowest,3,non-denominational,119
57,3,boy,2,lowest,lowest,2,non-denominational,108
58,3,girl,5,5,lowest,4,non-denominational,116
59,3,boy,4,5,2,2,non-denominational,109
60,3,girl,5,7,5,highest,non-denominational,113
61,3,girl,5,7,5,4,non-denominational,118
62,3,girl,4,3,2,lowest,non-denominational,110
63,3,boy,5,2,lowest,4,non-denominational,111
64,3,boy,5,2,lowest,4,non-denominational,114
65,3,girl,highest,8,lowest,3,non-denominational,127
66,3,girl,highest,2,lowest,highest,non-denominational,122
67,4,boy,2,lowest,lowest,2,non-denominational,88
68,4,girl,2,lowest,lowest,NA,non-denominational,105
69,4,boy,2,lowest,lowest,3,non-denominational,104
70,4,girl,2,lowest,lowest,3,non-denominational,99
71,4,boy,2,lowest,2,3,non-denominational,93
72,4,boy,2,lowest,lowest,3,non-denominational,92
73,4,boy,2,lowest,lowest,2,non-denominational,96
74,4,boy,2,lowest,lowest,5,non-denominational,106
75,4,boy,5,lowest,lowest,3,non-denominational,119
76,4,boy,4,lowest,lowest,2,non-denominational,108
77,4,girl,2,2,lowest,2,non-denominational,106
78,4,girl,5,2,2,3,non-denominational,114
79,4,girl,2,lowest,lowest,2,non-denominational,108
80,4,boy,highest,lowest,2,2,non-denominational,110
81,4,boy,2,3,lowest,5,non-denominational,105
82,4,girl,2,2,lowest,lowest,non-denominational,95
83,4,boy,2,lowest,3,lowest,non-denominational,104
84,4,girl,lowest,lowest,lowest,3,non-denominational,103
85,4,boy,5,2,2,2,non-denominational,129
86,4,girl,4,lowest,lowest,lowest,non-denominational,114
87,4,boy,lowest,lowest,lowest,3,non-denominational,87
88,4,girl,2,lowest,lowest,3,non-denominational,101
89,4,boy,2,lowest,lowest,2,non-denominational,100
90,4,boy,2,lowest,lowest,2,non-denominational,94
91,4,boy,2,lowest,lowest,lowest,non-denominational,95
92,4,boy,2,lowest,lowest,lowest,non-denominational,87
93,4,boy,NA,lowest,lowest,lowest,non-denominational,111
94,4,boy,2,lowest,lowest,2,non-denominational,95
95,5,girl,2,lowest,lowest,NA,non-denominational,84
96,5,boy,4,3,3,3,non-denominational,117
97,5,boy,2,6,4,5,non-denominational,83
98,5,boy,2,6,4,5,non-denominational,87
99,5,boy,highest,2,2,3,non-denominational,129
