distid,scid,sid,g3_fall,g3_winter,g3_spring,g4_fall,g4_winter,g4_spring,g5_fall,g5_winter,g5_spring
1,1-1,1-1-1,203.01067531278483,202.47605307865106,212.26386149791753,205.344223562155,214.2585992541995,220.28665272792585,220.5970149232423,220.9810816392434,237.00745486922114
1,1-1,1-1-2,195.46065723059647,197.20837033539985,198.38351035992767,202.86766392693502,202.59519310864243,214.1419021959474,206.24615761128416,215.28283610719052,221.04256285628725
1,1-1,1-1-3,176.73931300008138,186.86637136729783,194.86915882217022,188.06532966752573,195.29541099941338,203.08235147409133,198.35225227597257,210.14815605738985,214.81613761408332
1,1-1,1-1-4,177.48618548372386,189.64106271400178,185.95291939122535,184.86892739863717,184.6890797379181,201.96893874110012,192.85187655086122,199.05293591070367,214.3000529704272
1,1-1,1-1-5,177.82346612398644,191.67269094178116,190.3564904220324,194.12725827020336,197.91552205987924,201.98451110557727,190.01886955828303,191.89448412045445,188.59563869569308
1,1-1,1-1-6,199.63378896696008,200.57509537716842,212.92775026137232,200.3406710744211,215.81908557837443,230.868787097058,230.2504188872789,225.4082841203639,233.37326348516538
1,1-1,1-1-7,191.60220549015256,192.10958910489657,209.76687314147247,204.0859429660412,207.33520564929535,215.32858071230027,210.64836485288,222.93559549962862,232.54791714709162
1,1-1,1-1-8,178.10141642634073,200.90073495937852,198.31884813231434,202.66115025335105,209.39690972057122,213.91348785703406,218.03573279504712,211.05262853566896,230.7819430238019
1,1-1,1-1-9,195.47540581588072,191.64678953585673,203.9325585254457,195.2835253622393,207.37038642112182,206.8143752923641,199.05772351854569,212.27936949885736,216.0435431936467
1,1-1,1-1-10,213.42381891359057,207.6225585370631,215.9709600643728,207.8314859376822,214.35412559727988,232.65539988059322,217.99272297674474,222.5678168320116,228.22543836460596
1,1-1,1-1-11,177.4353559233574,192.76065150149145,200.0217511124925,193.94597740448287,193.1441536941931,208.87579831114937,203.1068240824519,209.9467564219435,214.59054374236166
1,1-1,1-1-12,208.10172215682965,203.26609319482725,216.9035687530775,200.1032995595683,209.75831553778087,222.99236062282148,218.81915449572105,240.67444667492725,242.7725707618446
1,1-1,1-1-13,199.07642860551843,207.196039331177,217.7932012561633,205.8446857261618,205.95109944537828,207.19465925635228,214.27816186069705,225.95001281939017,230.2011671030318
1,1-1,1-1-14,192.26512229826758,184.99952454203918,192.83043729333556,195.17809863284,210.26569163092367,205.55849650152206,195.84350008884462,210.790573812416,220.46337725756274
1,1-1,1-1-15,191.52647191806003,206.73086060072427,202.54047410624003,212.6390302639585,224.98121987650106,228.80147687709749,228.8390899683216,240.35692081854944,246.10145117330796
1,1-1,1-1-16,202.6081076237168,213.08813982642386,215.42587541921088,218.2973735364457,220.46168101126776,224.78877668970986,227.80043742151923,239.89168185214336,248.8551172665418
1,1-1,1-1-17,204.33217745729533,216.4120463460582,226.28203795707714,218.96444891770696,229.28218467089812,226.6203243118755,228.18314090924838,226.30535228582738,241.62544024214822
1,1-1,1-1-18,207.0817213685841,214.9652133803247,226.53210471979648,227.75970852441276,239.6447747922255,236.6176130083416,235.5275316795687,234.81819064328334,250.10166950620606
1,1-1,1-1-19,199.3050279888938,201.50780867459306,215.70674094336596,222.46914563770852,217.44194432402801,226.6212452597028,222.12015997561596,231.67640970541333,244.3472875942122
1,1-1,1-1-20,192.72532476134947,196.72754796155215,212.11175007250498,204.96663193288018,212.60215386609113,214.5481972865159,220.1843641254032,222.01917581538544,225.85012678440563
1,1-1,1-1-21,204.72366958386056,210.08645029582428,226.0990612148432,216.02724235946172,229.1355153685764,236.76195139729398,237.9201479242419,250.97337446354558,248.87662471036418
1,1-1,1-1-22,194.77551999013164,208.55118952363298,216.02797314156393,205.5680486764943,220.66423468504644,238.0984830682769,225.3426813501226,226.5937180907693,239.80054958252623
1,1-1,1-1-23,187.5164107758893,192.52338921581557,202.75180321943336,200.57800832852033,204.36088064563478,202.71493489626252,209.66276471654453,215.2010842225852,223.8993780370519
1,1-1,1-1-24,208.80664334317362,216.6428710885779,213.3663232322301,208.70558876909695,223.67411073751208,220.42688470440123,226.13940829093812,230.4050280927085,232.97074611794403
1,1-1,1-1-25,200.54183860699655,219.54978903196613,217.9088583451322,216.33711726632853,228.24865151167037,228.95354583562795,220.6590140438376,222.86878669093988,237.87205365926292
