schoolid,sex,pped,repeated_grade,msesc
10103,girl,no,no,0.88
10103,girl,no,no,0.88
10103,girl,yes,no,0.88
10103,girl,yes,no,0.88
10103,girl,yes,no,0.88
10103,girl,yes,no,0.88
10103,boy,yes,no,0.88
10103,boy,yes,no,0.88
10103,boy,yes,no,0.88
10103,boy,yes,no,0.88
10103,boy,yes,no,0.88
10103,boy,yes,no,0.88
10103,boy,yes,no,0.88
10103,boy,yes,no,0.88
10103,boy,yes,no,0.88
10103,boy,yes,no,0.88
10103,boy,yes,yes,0.88
10104,girl,no,no,0.2
10104,girl,no,no,0.2
10104,girl,no,no,0.2
10104,girl,no,no,0.2
10104,girl,no,no,0.2
10104,girl,no,no,0.2
10104,girl,no,no,0.2
10104,girl,yes,no,0.2
10104,girl,yes,no,0.2
10104,girl,yes,no,0.2
10104,girl,yes,no,0.2
10104,girl,yes,no,0.2
10104,girl,yes,no,0.2
10104,girl,yes,no,0.2
10104,girl,yes,no,0.2
10104,boy,no,no,0.2
10104,boy,no,no,0.2
10104,boy,no,no,0.2
10104,boy,no,no,0.2
10104,boy,no,no,0.2
10104,boy,no,no,0.2
10104,boy,yes,no,0.2
10104,boy,yes,no,0.2
10104,boy,yes,no,0.2
10104,boy,yes,no,0.2
10104,boy,yes,no,0.2
10104,boy,yes,no,0.2
10104,boy,yes,no,0.2
10104,boy,yes,no,0.2
10105,girl,no,no,-0.07
10105,girl,no,no,-0.07
10105,girl,no,no,-0.07
10105,girl,yes,no,-0.07
10105,girl,yes,no,-0.07
10105,girl,yes,no,-0.07
10105,girl,yes,yes,-0.07
10105,girl,yes,yes,-0.07
10105,boy,no,no,-0.07
10105,boy,no,no,-0.07
10105,boy,no,yes,-0.07
10105,boy,yes,no,-0.07
10105,boy,yes,no,-0.07
10105,boy,yes,no,-0.07
10105,boy,yes,no,-0.07
10105,boy,yes,no,-0.07
10105,boy,yes,yes,-0.07
10105,boy,yes,yes,-0.07
10106,girl,yes,no,0.47
10106,girl,yes,no,0.47
10106,boy,yes,no,0.47
10106,boy,yes,no,0.47
10106,boy,yes,no,0.47
10108,girl,yes,no,0.76
10108,girl,yes,no,0.76
10108,girl,yes,no,0.76
10108,girl,yes,no,0.76
10108,girl,yes,no,0.76
