schid,sid,size,lowinc,mobility,female,black,hispanic,retained,grade,year,math
2020,273026452,380,40.3,12.5,0,0,1,0,2,0.5,1.146
2020,273026452,380,40.3,12.5,0,0,1,0,3,1.5,1.134
2020,273026452,380,40.3,12.5,0,0,1,0,4,2.5,2.3
2020,273030991,380,40.3,12.5,0,0,0,0,0,-1.5,-1.303
2020,273030991,380,40.3,12.5,0,0,0,0,1,-0.5,0.439
2020,273030991,380,40.3,12.5,0,0,0,0,2,0.5,2.43
2020,273030991,380,40.3,12.5,0,0,0,0,3,1.5,2.254
2020,273030991,380,40.3,12.5,0,0,0,0,4,2.5,3.873
2020,273059461,380,40.3,12.5,0,0,1,0,0,-1.5,-1.384
2020,273059461,380,40.3,12.5,0,0,1,0,1,-0.5,0.338
2020,273059461,380,40.3,12.5,0,0,1,0,2,0.5,1.146
2020,273059461,380,40.3,12.5,0,0,1,0,3,1.5,1.839
2020,273059461,380,40.3,12.5,0,0,1,0,4,2.5,3.055
2020,278058841,380,40.3,12.5,0,0,0,0,0,-1.5,-0.733
2020,278058841,380,40.3,12.5,0,0,0,0,1,-0.5,1.043
2020,278058841,380,40.3,12.5,0,0,0,0,2,0.5,2.14
2020,278058841,380,40.3,12.5,0,0,0,0,3,1.5,2.814
2020,278058841,380,40.3,12.5,0,0,0,0,4,2.5,3.544
2020,292017571,380,40.3,12.5,0,0,1,0,0,-1.5,-0.733
2020,292017571,380,40.3,12.5,0,0,1,0,1,-0.5,0.148
2020,292017571,380,40.3,12.5,0,0,1,0,2,0.5,2.79
2020,292020281,380,40.3,12.5,0,0,0,0,0,-2.5,-3.068
2020,292020281,380,40.3,12.5,0,0,0,1,0,-1.5,-1.13
2020,292020281,380,40.3,12.5,0,0,0,0,1,-0.5,-0.921
2020,292020281,380,40.3,12.5,0,0,0,0,2,0.5,0.463
2020,292020281,380,40.3,12.5,0,0,0,0,3,1.5,0.021
2020,292020281,380,40.3,12.5,0,0,0,0,4,2.5,2.035
2020,292020361,380,40.3,12.5,0,0,0,0,0,-2.5,-2.732
2020,292020361,380,40.3,12.5,0,0,0,1,0,-1.5,-2.097
2020,292020361,380,40.3,12.5,0,0,0,0,1,-0.5,-0.988
