id,lnw,exper,ged,black,hispanic,hgc,uerate
31,1.491,0.015,1,0,1,8,3.215
31,1.433,0.715,1,0,1,8,3.215
31,1.469,1.734,1,0,1,8,3.215
31,1.749,2.773,1,0,1,8,3.295
31,1.931,3.927,1,0,1,8,2.895
31,1.709,4.946,1,0,1,8,2.495
31,2.086,5.965,1,0,1,8,2.595
31,2.129,6.984,1,0,1,8,4.795
36,1.982,0.315,1,0,0,9,4.895
36,1.798,0.983,1,0,0,9,7.4
36,2.256,2.04,1,0,0,9,7.4
36,2.573,3.021,1,0,0,9,5.295
36,1.819,4.021,1,0,0,9,4.495
36,2.928,5.521,1,0,0,9,2.895
36,2.443,6.733,1,0,0,9,2.595
36,2.825,7.906,1,0,0,9,2.595
36,2.303,8.848,1,0,0,9,5.795
36,2.329,9.598,1,0,0,9,7.6
53,1.763,0.781,0,0,1,7,5.595
53,1.538,0.943,0,0,1,7,6.695
53,3.242,0.957,1,0,1,7,4.895
53,1.596,1.037,1,0,1,7,4.995
53,1.566,1.057,1,0,1,7,3.795
53,1.882,1.11,1,0,1,7,3.495
53,1.89,1.185,1,0,1,7,2.795
53,1.66,1.777,1,0,1,7,3.195
122,2.115,2.038,0,0,0,12,8.4
122,2.921,2.638,0,0,0,12,8.1
122,1.919,3.658,0,0,0,12,6.395
122,0.763,4.638,0,0,0,12,4.995
122,2.443,5.831,0,0,0,12,4.095
122,2.18,6.715,0,0,0,12,3.595
122,2.138,8.158,0,0,0,12,2.795
122,2.199,9.1,0,0,0,12,3.195
122,2.337,10.35,0,0,0,12,5.195
122,2.668,11.081,0,0,0,12,6.195
134,2.004,0.192,0,0,0,11,5.795
134,2.099,0.972,0,0,0,11,5.495
134,2.323,1.934,0,0,0,11,6.095
134,2.387,2.953,0,0,0,11,8.4
134,2.263,3.915,1,0,0,11,8.1
134,2.326,4.635,1,0,0,11,6.395
134,2.298,5.635,1,0,0,11,5.895
134,2.666,6.75,1,0,0,11,5.095
134,2.806,8.25,1,0,0,11,2.795
134,2.927,9.019,1,0,0,11,3.195
